id,name,created_at,updated_at
"1","'Adrian'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"2","'Air Force'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"3","'Akron'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"4","'Alabama'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"5","'Albion'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"6","'Alma'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"7","'American Medical'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"8","'Arizona'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"9","'Arizona State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"10","'Army'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"11","'Ball State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"12","'Baylor'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"13","'Beloit'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"14","'Bennett Medical'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"15","'Boston College'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"16","'Bowling Green'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"17","'Butler'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"18","'BYU'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"19","'California'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"20","'Carlisle'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"21","'Carnegie Mellon'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"22","'Case Tech'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"23","'Chicago'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"24","'Chicago Dental Infirmary'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"25","'Chicago Medical'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"26","'Chicago Physicians & Surgeons'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"27","'Christian Brothers'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"28","'Cincinnati'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"29","'Clemson'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"30","'Coe'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"31","'Colorado'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"32","'Connecticut'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"33","'Creighton'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"34","'Dartmouth'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"35","'De LaSalle'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"36","'Depauw'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"37","'Detroit Mercy'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"38","'Drake'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"39","'Duke'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"40","'Englewood High'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"41","'Florida'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"42","'Florida State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"43","'Franklin'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"44","'Georgia'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"45","'Georgia Tech'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"46","'Goshen'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"47","'Great Lakes Navy'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"48","'Harvard Prep'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"49","'Haskell'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"50","'Hawaii'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"51","'Highland Views'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"52","'Hillsdale'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"53","'Houston'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"54","'Illinois'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"55","'Illinois Cycling Club'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"56","'Indiana'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"57","'Indianapolis Light Artillery'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"58","'Iowa'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"59","'Iowa Pre-Flight'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"60","'Iowa State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"61","'Kalamazoo'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"62","'Kansas'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"63","'Kirksville Osteopath'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"64","'Knox'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"65","'Lake Forest'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"66","'Lombard'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"67","'Louisville'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"68","'Loyola'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"69","'Loyola (LA)'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"70","'LSU'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"71","'Marquette'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"72","'Maryland'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"73","'Massachusetts'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"74","'Miami (FL)'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"75","'Miami (OH)'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"76","'Michigan'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"77","'Michigan State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"78","'Minnesota'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"79","'Missouri'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"80","'Morningside'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"81","'Morris Harvey'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"82","'Mount Union'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"83","'Navy'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"84","'Nebraska'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"85","'Nevada'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"86","'New Mexico'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"87","'North Carolina'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"88","'North Carolina State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"89","'North Division High'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"90","'Northwestern'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"91","'Northwestern Law School'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"92","'Ohio Medical'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"93","'Ohio Northern'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"94","'Ohio State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"95","'Oklahoma'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"96","'Ole Miss'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"97","'Olivet'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"98","'Oregon'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"99","'Oregon State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"100","'Pacific'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"101","'Penn State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"102","'Pennsylvania'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"103","'Physicians & Surgeons'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"104","'Pittsburgh'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"105","'Princeton'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"106","'Purdue'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"107","'Rice'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"108","'Rose Polytechnic'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"109","'Rose-Hulman'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"110","'Rush Medical'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"111","'Rutgers'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"112","'S.B. Howard Park'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"113","'Saint Louis'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"114","'San Diego State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"115","'SMU'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"116","'South Bend Athletic Club'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"117","'South Bend High School'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"118","'South Carolina'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"119","'South Dakota'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"120","'South Florida'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"121","'Southern Cal'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"122","'St. Bonaventure'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"123","'St. Viator'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"124","'St. Vincent's'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"125","'Stanford'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"126","'Syracuse'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"127","'Temple'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"128","'Tennessee'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"129","'Texas'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"130","'Texas A&M'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"131","'Texas Christian'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"132","'Toledo A.C.'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"133","'Tulane'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"134","'Tulsa'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"135","'UCLA'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"136","'Utah'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"137","'Valparaiso'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"138","'Vanderbilt'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"139","'Virginia'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"140","'Virginia Tech'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"141","'Wabash'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"142","'Wake Forest'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"143","'Washington'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"144","'Washington & Jefferson'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"145","'Washington State'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"146","'Washington-St. Louis'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"147","'West Virginia'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"148","'Western Michigan'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"149","'Western Reserve'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"150","'Wisconsin'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"
"151","'Yale'","'2021-09-22T05:55:17.191778+00:00'","'2021-09-22T05:55:17.191778+00:00'"